,RNA_PC1,RNA_PC2,Protein_PC1,Protein_PC2,Mutation_PC1,Mutation_PC2
P_3530724,0.6259603502870484,-0.897679393109605,0.9672583265325267,-0.16361993268519437,1.8127839215892978,0.2236246389862077
P_3530886,2.4812287027092945,1.681936901300783,1.6293965297166415,-1.4049128212252333,-0.2612218286473421,-1.3102001283015499
P_3531323,0.5463206454271298,-1.38577895246553,0.053454379662588654,-1.0286733297618713,0.652490721641293,1.766150612904589
P_3531836,0.5419982954647145,-1.121592550117592,0.7532379388631993,0.2254955345534119,0.06885185247766673,0.41488781528400387
P_3531866,-1.056529680727712,-1.0560433119155792,-2.084651166514968,-0.7216220746527077,-0.1496909939998231,-1.8409960858826624
P_3533962,-0.9993955168288507,-1.0754061870621787,-0.47940885937200034,-0.8863195466431439,-0.25180349541167685,-0.7618624595734422
P_3535093,-1.4565475025952002,0.13205606437250467,-0.5367923757443391,-0.03106638870406184,-1.826671108937808,0.03364027312455724
P_3536208,-0.8815460988163033,0.3951363469348715,-0.20521475234023717,0.5602223237417052,-0.5057069135392757,-0.01850007672489482
P_3536228,-1.2459589863259093,0.2515670150127017,-0.23655261013007337,-0.1985748290931233,-1.5522637122157368,1.3096413690724542
P_3536424,-0.2613324160890084,-0.1671022356598103,-0.1175424210440931,1.4185042627247872,0.4131191398854374,1.4614763224876344
P_3537805,2.157952271036161,0.5198495261667261,1.1718360257960623,-0.9774431926966957,2.0018458377041197,0.8357498323722533
P_3538484,-0.7229617886679126,-0.18577469178207134,-0.8478527185820287,-0.3100158526823117,-1.8135170968665562,0.041428319231439456
P_3538844,1.247446247099279,2.866674105399665,0.7477952705722705,-0.6099740424679868,1.295730234872829,0.6006764981684074
P_3539182,-0.806158492149989,-0.11511907715823497,-1.6423960858862467,0.4408709978167105,-0.9634174811043674,0.3182356250537191
P_3541925,-0.4021942584709952,-1.2700134594604657,0.3458493077258196,1.4373788320791712,0.516066766216361,-0.6639751081901516
P_3542962,1.4143097402705118,0.13685571173225358,1.7563996442465475,-2.331970141259071,0.9772555429648591,1.5965872688128546
P_3544561,0.3024816646318512,-0.10414533687649086,-0.6704632833656903,-0.7272507005996568,2.2801750247272548,0.34107215310255146
P_3546501,0.03652264967098769,-0.9574950779866098,0.05930323913769712,1.6807846118981795,1.1069573270864512,0.5591354666183989
P_3547298,0.0822552580749536,-1.3143558610387722,0.5310942948813508,0.16857065847860483,0.44638819848475453,0.025912727396005208
P_3547308,-0.9167257479355908,0.4799892273906932,-1.8806524385517749,-1.2977188675931746,-0.5938307970838531,-1.5261672200099938
P_3547784,0.6892635158553178,-0.7864261149742059,0.21061299821333868,-0.4056185217482646,0.7307609554382161,0.06008883785160922
P_3550972,0.5052975515000729,-0.6270971364050064,0.9914924040519777,0.9200824032891397,-0.9366574685076873,-0.37424473313453627
P_3562415,0.7701833309410009,-0.7984214348851381,0.3844610266930283,-0.5158972687836106,-0.3965669196781541,-0.5662548979458487
P_3565033,1.981811989606978,-0.49835153182917324,1.0226204196679103,-0.9821307994994428,1.3520750360790041,0.6771869220548756
