node1,node2,combined_score
PYGB,TTR,904
MPO,TTR,921
CTSC,TTR,910
RBP1,TTR,955
APOA1,TTR,868
PSMA4,RPN2,917
RCN1,RPN2,763
PSMA3,RPN2,924
RPL18A,RPN2,910
PSMA2,RPN2,902
SEC61B,RPN2,948
RPL19,RPN2,902
RPS12,RPN2,902
MOGS,RPN2,939
ABCF2,ABCG2,726
NDUFB4,NDUFB3,999
UQCRC1,NDUFB3,926
NDUFB7,NDUFB3,999
NDUFS7,NDUFB3,998
FBL,FKBP15,733
CHMP4B,VPS4B,992
ZPR1,VPS4B,798
AAAS,NEK9,902
NUP155,NEK9,906
RTCB,FAM98A,801
VCL,PFN2,882
PFN1,PFN2,926
VCL,SORBS3,974
SNRPD3,TARDBP,900
PABPN1,TARDBP,713
HNRNPL,TARDBP,947
RBP1,RDH10,968
CTSZ,TFG,900
YKT6,TFG,902
CTSC,TFG,902
PRPF19,NAA50,725
MT3,CAT,708
MAPK1,CAT,719
HMOX1,CAT,904
TXN2,CAT,858
APEX1,CAT,817
GSS,CAT,890
DECR1,CAT,935
GSR,CAT,987
ECH1,CAT,916
MPO,CAT,862
GAPDH,CAT,784
TPI1,CAT,730
GCLC,CAT,917
FAHD2A,CAT,875
HSPE1,CAT,718
GSTZ1,GSTM2,732
GSS,GSTM2,799
GSR,GSTM2,870
CD74,CLTA,902
VAMP3,CLTA,914
MAPK1,CLTA,901
WASL,CLTA,956
YKT6,CLTA,906
EFNB3,CLTA,900
ARPC3,CLTA,912
APOB,CLTA,900
VCL,ZC3HAV1,900
MAPK1,ZC3HAV1,900
CSK,ZC3HAV1,900
MCM5,UNG,731
APEX1,UNG,913
GAPDH,UNG,816
UMPS,UNG,745
MSH2,UNG,731
MSH6,UNG,862
GCDH,ACADS,923
AAAS,DDX39A,909
PABPN1,DDX39A,932
CSTF1,DDX39A,905
PRPF19,DDX39A,826
SRSF9,DDX39A,938
NUP155,DDX39A,920
APOC3,LRP1,915
APOB,LRP1,945
APOA1,LRP1,919
RPL18A,SEC61A1,979
SEC61B,SEC61A1,999
RPL19,SEC61A1,989
RPS12,SEC61A1,996
RPN2,SEC61A1,987
VAMP3,RAB9B,917
PLIN3,RAB9B,903
RAB3A,RAB9B,921
RAB35,RAB9B,913
SF3A1,SNRPA,992
SNRPD3,SNRPA,998
PHF5A,SNRPA,984
PABPN1,SNRPA,942
CSTF1,SNRPA,945
HNRNPL,SNRPA,958
SF3A2,SNRPA,998
DDX5,SNRPA,947
PRPF19,SNRPA,986
SRSF9,SNRPA,929
RRP9,SNRPA,708
SF3B6,SNRPA,967
GNA11,PLCG1,926
CDC37,PLCG1,900
EIF2AK2,PLCG1,926
RAB3A,RAB22A,910
RAB35,RAB22A,917
RAB9B,RAB22A,926
STUB1,RNF114,902
SKP1,RNF114,905
UBE3A,RNF114,901
SF3A1,SNRPC,950
SNRPD3,SNRPC,999
PHF5A,SNRPC,985
PABPN1,SNRPC,936
CSTF1,SNRPC,908
HNRNPL,SNRPC,935
SF3A2,SNRPC,987
DDX5,SNRPC,927
PRPF19,SNRPC,938
SRSF9,SNRPC,951
SF3B6,SNRPC,944
SNRPA,SNRPC,998
TECR,SSR1,826
RPL18A,SSR1,903
SEC61B,SSR1,984
RPL19,SSR1,902
RPS12,SSR1,902
RPN2,SSR1,931
SEC61A1,SSR1,989
EMC2,EMC3,999
MIF,GOT2,925
PCK2,GOT2,872
IDH3G,GOT2,830
OGDH,GOT2,920
LAP3,GOT2,892
TPI1,GOT2,905
GCLC,GOT2,816
ENO1,GOT2,812
CAT,GOT2,723
MRPS35,MRPS7,998
EEF1A2,MRPS7,881
EIF3E,MRPS7,790
FBL,MRPS7,850
RPL18A,MRPS7,912
SEC61B,MRPS7,763
RPL19,MRPS7,941
RPS12,MRPS7,890
RRP9,MRPS7,778
ABCG2,MRPS7,800
SEC61A1,MRPS7,887
NAMPT,NT5C,900
UMPS,NT5C,910
ATIC,NT5C,900
ATP5F1D,CLPP,777
NDUFB7,CLPP,741
NDUFS7,CLPP,820
HSPE1,CLPP,851
HEBP1,C3,901
RCN1,C3,902
CPB2,C3,941
SERPIND1,C3,929
MAPK1,C3,931
LGALS1,C3,904
ARSA,C3,901
CTSG,C3,956
PYGB,C3,903
TIMP1,C3,921
SCG3,C3,904
LAMB1,C3,904
C5,C3,947
MPO,C3,951
WFS1,C3,900
CTSC,C3,915
GNB4,C3,900
APOB,C3,950
APOA1,C3,967
TTR,C3,960
ITGA3,VASP,703
VCL,VASP,830
WASL,VASP,899
PFN1,VASP,988
PFN2,VASP,992
AAAS,SYMPK,903
SF3A1,SYMPK,923
SNRPD3,SYMPK,912
PHF5A,SYMPK,908
PABPN1,SYMPK,951
CSTF1,SYMPK,981
HNRNPL,SYMPK,911
SF3A2,SYMPK,912
DDX5,SYMPK,922
PRPF19,SYMPK,913
SRSF9,SYMPK,931
NUP155,SYMPK,910
SF3B6,SYMPK,907
DDX39A,SYMPK,935
SNRPA,SYMPK,941
SNRPC,SYMPK,912
MIF,DSTN,739
GDAP1,DSTN,712
SF3A1,SNRPB2,989
SNRPD3,SNRPB2,999
PHF5A,SNRPB2,999
PABPN1,SNRPB2,949
CSTF1,SNRPB2,925
HNRNPL,SNRPB2,948
SF3A2,SNRPB2,998
DDX5,SNRPB2,935
PRPF19,SNRPB2,997
SRSF9,SNRPB2,938
SF3B6,SNRPB2,995
SNRPA,SNRPB2,940
SNRPC,SNRPB2,994
SYMPK,SNRPB2,915
RPN2,NCLN,847
TPI1,UROD,750
MAPK1,CAPNS1,922
PSMA4,UBA2,819
TRIP6,UBA2,804
PSMA3,UBA2,703
PSMA2,UBA2,748
USP5,UBA2,719
UQCRC1,COX6B1,904
ATP5F1D,COX6B1,774
NDUFB7,COX6B1,775
TUBB1,ARL2,922
TBCB,ARL2,828
MAPK1,RRAS,947
EFNB3,RRAS,921
GNB4,RRAS,700
SNX3,SBDS,835
SPR,SBDS,817
AHSA1,TRAP1,900
SF3A2,TRAP1,933
CDC37,TRAP1,835
CLPP,TRAP1,713
CRYM,L3HYPDH,812
CD74,CANX,910
ERLEC1,CANX,808
SEC61B,CANX,836
GAPDH,CANX,709
MOGS,CANX,933
RPN2,CANX,954
SEC61A1,CANX,916
TMX4,CANX,741
MAPK1,PYCARD,920
ARSA,PYCARD,900
CTSG,PYCARD,916
PYGB,PYCARD,900
MPO,PYCARD,925
CTSC,PYCARD,907
TTR,PYCARD,900
C3,PYCARD,913
ATP5F1D,PHPT1,768
NDUFB7,PHPT1,848
NDUFS7,PHPT1,844
CLPP,PHPT1,841
PSMA4,TRAF2,906
PSMC4,TRAF2,900
PSMD5,TRAF2,901
PSMD8,TRAF2,902
PSMA3,TRAF2,902
PSME2,TRAF2,900
PSMD10,TRAF2,914
PSMD7,TRAF2,909
PSMA2,TRAF2,901
NFKB1,TRAF2,933
NAGLU,IDUA,752
MAPK1,PIN1,917
FKBP3,PIN1,718
FKBP15,PIN1,725
EIF3D,EIF3K,999
EIF5,EIF3K,947
EIF3E,EIF3K,999
RPL18A,EIF3K,985
RPL19,EIF3K,950
RPS12,EIF3K,979
MRPS7,EIF3K,883
TUBB1,TUBA4A,940
TBCB,TUBA4A,963
MAPK1,HSPB1,820
ITGB4,YWHAH,907
MAPK1,YWHAH,932
TSC2,YWHAH,950
LAMB1,YWHAH,900
LNPEP,YWHAH,909
PPP3R1,YWHAH,913
PIN1,YWHAH,900
DLD,PMPCB,840
ATP5F1D,PMPCB,851
SLC25A3,PMPCB,736
SF3A1,LSM8,979
SNRPD3,LSM8,999
PHF5A,LSM8,998
PABPN1,LSM8,917
CSTF1,LSM8,908
HNRNPL,LSM8,942
SF3A2,LSM8,976
DDX5,LSM8,934
PRPF19,LSM8,936
SART3,LSM8,990
SRSF9,LSM8,928
SF3B6,LSM8,936
SNRPA,LSM8,982
SNRPC,LSM8,964
SYMPK,LSM8,903
SNRPB2,LSM8,998
RCN1,VGF,900
SERPIND1,VGF,900
LGALS1,VGF,904
TIMP1,VGF,901
SCG3,VGF,973
LAMB1,VGF,900
WFS1,VGF,902
APOB,VGF,900
APOA1,VGF,908
C3,VGF,906
CSNK2A1,SIRT2,768
NAMPT,SIRT2,727
RALA,SNAP23,927
VAMP3,SNAP23,999
SLC2A3,SNAP23,900
STX1B,SNAP23,979
SNAP29,SNAP23,968
ATP6V1D,SNAP23,912
PGRMC1,SNAP23,901
STX1A,SNAP23,999
YKT6,SNAP23,900
MLEC,SNAP23,901
EXOC2,SNAP23,937
TMEM30A,SNAP23,904
BNIP1,SNAP23,788
ARF5,COPB1,957
SLC2A3,COPB1,900
ZW10,COPB1,908
DCTN6,COPB1,907
YKT6,COPB1,911
BNIP1,COPB1,900
SNAP23,COPB1,904
TXNL1,TXNDC17,929
USP5,TXNDC17,807
RPL18A,FXR2,740
RPL19,FXR2,742
SEC61B,DAD1,835
MOGS,DAD1,943
RPN2,DAD1,999
SEC61A1,DAD1,813
VCL,RAP1B,929
SNAP29,RAP1B,905
MAPK1,RAP1B,937
CSK,RAP1B,917
TMEM30A,RAP1B,914
ZC3HAV1,RAP1B,902
LAMB1,ARHGEF6,902
LAMA4,ARHGEF6,900
RRAS,ARHGEF6,820
CTSZ,LMAN1,946
YKT6,LMAN1,937
CTSC,LMAN1,937
TFG,LMAN1,920
SSR1,LMAN1,930
CANX,LMAN1,832
TUBA4A,TUBG1,938
EIF3D,RPS16,948
PSMA3,RPS16,876
EIF5,RPS16,942
EEF1A2,RPS16,899
EIF3E,RPS16,998
FBL,RPS16,996
RPL18A,RPS16,999
SEC61B,RPS16,996
RPL19,RPS16,999
RPS12,RPS16,999
RRP9,RPS16,982
RPN2,RPS16,906
SEC61A1,RPS16,997
SSR1,RPS16,909
MRPS7,RPS16,939
CLPP,RPS16,735
EIF3K,RPS16,990
ACOT13,TRNT1,876
VAMP3,SNX4,919
SNAP29,SNX4,913
STX1A,SNX4,905
BNIP1,SNX4,720
SNAP23,SNX4,913
MCM5,RRM2B,838
NME3,RRM2B,918
CHMP4B,TSG101,992
RAB35,TSG101,742
VPS4B,TSG101,984
NDUFB4,NDUFA2,998
UQCRC1,NDUFA2,892
ATP5F1D,NDUFA2,926
NDUFB7,NDUFA2,999
NDUFS7,NDUFA2,999
NDUFB3,NDUFA2,999
RCN1,APOE,900
APOH,APOE,879
SERPIND1,APOE,925
LGALS1,APOE,915
TIMP1,APOE,944
SCG3,APOE,906
PON1,APOE,914
LAMB1,APOE,907
WFS1,APOE,902
APOC3,APOE,984
RBP1,APOE,909
APOB,APOE,996
APOA1,APOE,991
LRP1,APOE,989
C3,APOE,959
VGF,APOE,925
SORBS3,SAFB2,896
DCN,NCAN,953
SNAP29,BST2,900
OAS3,BST2,946
TMEM30A,BST2,900
RAP1B,BST2,900
PLOD1,COLGALT1,956
PLOD3,COLGALT1,958
COL1A1,COLGALT1,907
TPI1,PGLS,701
SF3A1,LSM7,968
SNRPD3,LSM7,999
PHF5A,LSM7,997
PABPN1,LSM7,922
CSTF1,LSM7,907
HNRNPL,LSM7,916
SF3A2,LSM7,972
DDX5,LSM7,936
PRPF19,LSM7,922
SART3,LSM7,940
SRSF9,LSM7,925
SF3B6,LSM7,925
SNRPA,LSM7,984
SNRPC,LSM7,964
SYMPK,LSM7,903
SNRPB2,LSM7,996
LSM8,LSM7,999
ITGA3,ACTN4,797
TNS1,ACTN4,910
ITGB4,ACTN4,803
VCL,ACTN4,998
MYH9,ACTN4,773
TIMP1,ACTN4,907
CSK,ACTN4,910
ITGB8,ACTN4,733
SPARC,ACTN4,909
HRG,ACTN4,902
NDUFB4,NDUFA10,999
UQCRC1,NDUFA10,974
DLD,NDUFA10,852
ATP5F1D,NDUFA10,958
NDUFB7,NDUFA10,999
ACO2,NDUFA10,867
NDUFS7,NDUFA10,998
NDUFB3,NDUFA10,994
PMPCB,NDUFA10,720
NDUFA2,NDUFA10,999
YWHAH,NUMBL,805
ITGA3,LAMA5,981
ITGB4,LAMA5,945
NID2,LAMA5,941
LAMB1,LAMA5,997
LAMA4,LAMA5,917
ARHGEF6,LAMA5,900
STUB1,UBE2M,924
SKP1,UBE2M,971
UBE3A,UBE2M,934
RNF114,UBE2M,902
UBA2,UBE2M,873
CBX5,TRIM28,728
PSMA4,EIF2S3,753
EIF3D,EIF2S3,950
PSMA3,EIF2S3,853
EIF5,EIF2S3,985
EIF3E,EIF2S3,998
RPL18A,EIF2S3,949
PSMA2,EIF2S3,751
RPL19,EIF2S3,955
RPS12,EIF2S3,997
EIF2AK2,EIF2S3,931
MRPS7,EIF2S3,766
EIF3K,EIF2S3,970
RPS16,EIF2S3,998
VAMP3,HIP1R,915
WASL,HIP1R,977
CPD,HIP1R,904
ARPC3,HIP1R,961
APOB,HIP1R,902
CLTA,HIP1R,980
TSG101,HIP1R,836
EIF3D,EIF3G,999
EIF5,EIF3G,999
EIF3E,EIF3G,999
RPL18A,EIF3G,992
RPL19,EIF3G,980
GAR1,EIF3G,831
RPS12,EIF3G,997
MRPS7,EIF3G,861
EIF3K,EIF3G,999
RPS16,EIF3G,999
EIF2S3,EIF3G,999
DHODH,GRWD1,819
FBL,GRWD1,898
GAR1,GRWD1,755
RRP9,GRWD1,900
FKBP15,GRWD1,858
PNN,RBM39,706
SF3A2,RBM39,777
PRPF19,RBM39,822
SNRPA,RBM39,835
ATP5F1D,ATP6V1E1,775
ATP6V1D,ATP6V1E1,999
C1QBP,F12,928
ABCF2,ABCB7,731
EHD4,RBSN,717
VPS18,RBSN,738
RAB22A,RBSN,780
MAPK1,ACLY,910
SLC25A1,ACLY,829
ARSA,ACLY,900
ACO2,ACLY,968
CTSG,ACLY,900
PCK2,ACLY,960
PYGB,ACLY,951
OGDH,ACLY,744
MPO,ACLY,904
CTSC,ACLY,913
TTR,ACLY,903
GOT2,ACLY,884
C3,ACLY,903
PYCARD,ACLY,900
RALA,EXOC4,979
MYH9,EXOC4,910
EXOC2,EXOC4,999
SNAP23,EXOC4,968
SLC17A7,PPFIA1,925
RAB3A,PPFIA1,939
