inx,geneid,pathway,pathwayano
gene1917,ATP6V0A2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1918,UQCRB,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1919,ATP6V0D1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1920,COX6A2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1921,COX6A1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1922,UQCRH,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1923,UQCRFS1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1924,UQCRC2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1925,UQCRC1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1926,NDUFB3,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1927,NDUFB1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1928,NDUFB2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1929,NDUFA10,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1930,NDUFAB1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1931,ATP6V0E2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1932,MT-ND6,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1933,NDUFA9,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1934,MT-ND5,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1935,NDUFA7,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1936,NDUFA8,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1937,UQCR11,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1938,NDUFA6,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1939,NDUFV3,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1940,ATP6V1E2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1941,MT-ND4,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1942,MT-ND4L,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1943,MT-ND2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1944,COX6B2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1945,PPA1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1946,MT-ND3,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1947,COX4I2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1948,MT-ND1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1949,ATP5MG,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1950,ATP6V0E1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1951,NDUFA11,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1952,NDUFB10,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1953,NDUFS8,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1954,NDUFC1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1955,NDUFC2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1956,NDUFS1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1957,NDUFV2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1958,NDUFB6,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1959,NDUFS4,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1960,NDUFB7,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1961,NDUFV1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1962,NDUFB8,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1963,NDUFS6,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1964,NDUFB9,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1965,NDUFS5,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1966,NDUFS2,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1967,NDUFB4,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1968,NDUFS3,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1969,NDUFB5,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1970,CYC1,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1971,COX11,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1972,COX15,Oxidative Phosphorylation,Oxidative Phosphorylation
gene1973,POLR2G,Purine Metabolism,Purine Metabolism
gene1974,NT5C2,Purine Metabolism,Purine Metabolism
gene1975,POLR2H,Purine Metabolism,Purine Metabolism
gene1976,ENPP3,Purine Metabolism,Purine Metabolism
gene1977,POLR2E,Purine Metabolism,Purine Metabolism
gene1978,POLR2F,Purine Metabolism,Purine Metabolism
gene1979,ENPP1,Purine Metabolism,Purine Metabolism
gene1980,XDH,Purine Metabolism,Purine Metabolism
gene1981,POLR2I,Purine Metabolism,Purine Metabolism
gene1982,POLR2J,Purine Metabolism,Purine Metabolism
gene1983,POLE3,Purine Metabolism,Purine Metabolism
gene1984,ADSS2,Purine Metabolism,Purine Metabolism
gene1985,PRPS2,Purine Metabolism,Purine Metabolism
gene1986,ADSL,Purine Metabolism,Purine Metabolism
gene1987,NME6,Purine Metabolism,Purine Metabolism
gene1988,POLR1D,Purine Metabolism,Purine Metabolism
gene1989,PNPT1,Purine Metabolism,Purine Metabolism
gene1990,POLR2K,Purine Metabolism,Purine Metabolism
gene1991,PDE11A,Purine Metabolism,Purine Metabolism
gene1992,POLD3,Purine Metabolism,Purine Metabolism
gene1993,POLR2L,Purine Metabolism,Purine Metabolism
gene1994,AK1,Purine Metabolism,Purine Metabolism
gene1995,NME1-NME2,Purine Metabolism,Purine Metabolism
gene1996,AK2,Purine Metabolism,Purine Metabolism
gene1997,AK4,Purine Metabolism,Purine Metabolism
gene1998,POLA2,Purine Metabolism,Purine Metabolism
gene1999,CANT1,Purine Metabolism,Purine Metabolism
gene2000,AMPD1,Purine Metabolism,Purine Metabolism
gene2001,AMPD3,Purine Metabolism,Purine Metabolism
gene2002,AMPD2,Purine Metabolism,Purine Metabolism
gene2003,NME4,Purine Metabolism,Purine Metabolism
gene2004,GUCY2D,Purine Metabolism,Purine Metabolism
gene2005,NME1,Purine Metabolism,Purine Metabolism
gene2006,ATIC,Purine Metabolism,Purine Metabolism
gene2007,NME2,Purine Metabolism,Purine Metabolism
gene2008,DGUOK,Purine Metabolism,Purine Metabolism
gene2009,POLR3C,Purine Metabolism,Purine Metabolism
gene2010,NME3,Purine Metabolism,Purine Metabolism
gene2011,POLR3G,Purine Metabolism,Purine Metabolism
gene2012,POLR3F,Purine Metabolism,Purine Metabolism
gene2013,PRUNE1,Purine Metabolism,Purine Metabolism
gene2014,ADPRM,Purine Metabolism,Purine Metabolism
gene2015,PDE4B,Purine Metabolism,Purine Metabolism
gene2016,PDE4C,Purine Metabolism,Purine Metabolism
gene2017,PDE3B,Purine Metabolism,Purine Metabolism
gene2018,PDE4A,Purine Metabolism,Purine Metabolism
gene2019,NUDT2,Purine Metabolism,Purine Metabolism
gene2020,GMPR2,Purine Metabolism,Purine Metabolism
gene2021,PDE6C,Purine Metabolism,Purine Metabolism
gene2022,PDE6D,Purine Metabolism,Purine Metabolism
gene2023,PDE4D,Purine Metabolism,Purine Metabolism
gene2024,PDE6A,Purine Metabolism,Purine Metabolism
gene2025,PRIM1,Purine Metabolism,Purine Metabolism
gene2026,PRIM2,Purine Metabolism,Purine Metabolism
gene2027,AK5,Purine Metabolism,Purine Metabolism
gene2028,GMPR,Purine Metabolism,Purine Metabolism
gene2029,NME5,Purine Metabolism,Purine Metabolism
gene2030,PDE7B,Purine Metabolism,Purine Metabolism
gene2031,PDE5A,Purine Metabolism,Purine Metabolism
gene2032,POLD4,Purine Metabolism,Purine Metabolism
gene2033,GUCY1A2,Purine Metabolism,Purine Metabolism
gene2034,FHIT,Purine Metabolism,Purine Metabolism
gene2035,ADCY3,Purine Metabolism,Purine Metabolism
gene2036,ADCY2,Purine Metabolism,Purine Metabolism
gene2037,ADCY1,Purine Metabolism,Purine Metabolism
gene2038,POLA1,Purine Metabolism,Purine Metabolism
gene2039,PDE3A,Purine Metabolism,Purine Metabolism
gene2040,PDE2A,Purine Metabolism,Purine Metabolism
gene2041,PDE1C,Purine Metabolism,Purine Metabolism
gene2042,ADSS1,Purine Metabolism,Purine Metabolism
gene2043,ADA,Purine Metabolism,Purine Metabolism
gene2044,ENTPD8,Purine Metabolism,Purine Metabolism
gene2045,POLE2,Purine Metabolism,Purine Metabolism
gene2046,PDE8A,Purine Metabolism,Purine Metabolism
gene2047,PDE9A,Purine Metabolism,Purine Metabolism
gene2048,PDE1B,Purine Metabolism,Purine Metabolism
gene2049,NUDT9,Purine Metabolism,Purine Metabolism
gene2050,POLD1,Purine Metabolism,Purine Metabolism
gene2051,GDA,Purine Metabolism,Purine Metabolism
gene2052,POLD2,Purine Metabolism,Purine Metabolism
gene2053,POLE,Purine Metabolism,Purine Metabolism
gene2054,PDE6B,Purine Metabolism,Purine Metabolism
gene2055,PDE7A,Purine Metabolism,Purine Metabolism
gene2056,PRPS1,Purine Metabolism,Purine Metabolism
gene2057,POLR1E,Purine Metabolism,Purine Metabolism
gene2058,PAICS,Purine Metabolism,Purine Metabolism
gene2059,NT5C1A,Purine Metabolism,Purine Metabolism
gene2060,POLR2B,Purine Metabolism,Purine Metabolism
gene2061,POLR3A,Purine Metabolism,Purine Metabolism
gene2062,PDE6H,Purine Metabolism,Purine Metabolism
gene2063,POLR2A,Purine Metabolism,Purine Metabolism
gene2064,PDE6G,Purine Metabolism,Purine Metabolism
gene2065,POLR2D,Purine Metabolism,Purine Metabolism
gene2066,DCK,Purine Metabolism,Purine Metabolism
gene2067,POLR2C,Purine Metabolism,Purine Metabolism
gene2068,ADCY8,Purine Metabolism,Purine Metabolism
gene2069,ADCY9,Purine Metabolism,Purine Metabolism
gene2070,ADCY6,Purine Metabolism,Purine Metabolism
gene2071,AK7,Purine Metabolism,Purine Metabolism
gene2072,ADCY7,Purine Metabolism,Purine Metabolism
gene2073,ADCY5,Purine Metabolism,Purine Metabolism
gene2074,GMPS,Purine Metabolism,Purine Metabolism
gene2075,ADCY10,Purine Metabolism,Purine Metabolism
gene2076,POLR3K,Purine Metabolism,Purine Metabolism
gene2077,POLR1B,Purine Metabolism,Purine Metabolism
gene2078,PNP,Purine Metabolism,Purine Metabolism
gene2079,RRM2B,Purine Metabolism,Purine Metabolism
gene2080,PDE1A,Purine Metabolism,Purine Metabolism
gene2081,POLR2J2,Purine Metabolism,Purine Metabolism
gene2082,HPRT1,Purine Metabolism,Purine Metabolism
gene2083,GART,Purine Metabolism,Purine Metabolism
gene2084,PAPSS1,Purine Metabolism,Purine Metabolism
gene2085,PAPSS2,Purine Metabolism,Purine Metabolism
gene2086,NT5M,Purine Metabolism,Purine Metabolism
gene2087,ADCY4,Purine Metabolism,Purine Metabolism
gene2088,IMPDH1,Purine Metabolism,Purine Metabolism
gene2089,IMPDH2,Purine Metabolism,Purine Metabolism
gene2090,POLR3H,Purine Metabolism,Purine Metabolism
gene2091,POLR2J3,Purine Metabolism,Purine Metabolism
gene2092,POLR1A,Purine Metabolism,Purine Metabolism
gene2093,POLR3B,Purine Metabolism,Purine Metabolism
gene2094,GUCY1B1,Purine Metabolism,Purine Metabolism
gene2095,PKLR,Purine Metabolism,Purine Metabolism
gene2096,GUCY2C,Purine Metabolism,Purine Metabolism
gene2097,ENTPD4,Purine Metabolism,Purine Metabolism
gene2098,PKM,Purine Metabolism,Purine Metabolism
gene2099,GUCY1A1,Purine Metabolism,Purine Metabolism
gene2100,GUK1,Purine Metabolism,Purine Metabolism
gene2101,GUCY2F,Purine Metabolism,Purine Metabolism
gene2102,ADK,Purine Metabolism,Purine Metabolism
gene2103,ITPA,Purine Metabolism,Purine Metabolism
gene2104,POLR1C,Purine Metabolism,Purine Metabolism
gene2105,URAD,Purine Metabolism,Purine Metabolism
gene2106,POLE4,Purine Metabolism,Purine Metabolism
gene2107,RRM1,Purine Metabolism,Purine Metabolism
gene2108,POLR3D,Purine Metabolism,Purine Metabolism
gene2109,RRM2,Purine Metabolism,Purine Metabolism
gene2110,NT5C3A,Purine Metabolism,Purine Metabolism
gene2111,PDE8B,Purine Metabolism,Purine Metabolism
gene2112,POLR3GL,Purine Metabolism,Purine Metabolism
gene2113,NT5E,Purine Metabolism,Purine Metabolism
gene2114,NPR2,Purine Metabolism,Purine Metabolism
gene2115,NPR1,Purine Metabolism,Purine Metabolism
gene2116,PDE10A,Purine Metabolism,Purine Metabolism
gene2117,ENTPD6,Purine Metabolism,Purine Metabolism
gene2118,ENTPD2,Purine Metabolism,Purine Metabolism
gene2119,ENTPD5,Purine Metabolism,Purine Metabolism
gene2120,ENTPD3,Purine Metabolism,Purine Metabolism
gene2121,NUDT5,Purine Metabolism,Purine Metabolism
gene2122,ENTPD1,Purine Metabolism,Purine Metabolism
gene2123,PFAS,Purine Metabolism,Purine Metabolism
gene2124,NT5C1B,Purine Metabolism,Purine Metabolism
gene2125,APRT,Purine Metabolism,Purine Metabolism
gene2126,PRPS1L1,Purine Metabolism,Purine Metabolism
gene2127,PPAT,Purine Metabolism,Purine Metabolism
gene2128,NME7,Purine Metabolism,Purine Metabolism
gene2129,NT5C,Purine Metabolism,Purine Metabolism
gene2130,ALLC,Purine Metabolism,Purine Metabolism
gene2131,POLR1H,Purine Metabolism,Purine Metabolism
gene2132,NT5C2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2133,POLR2G,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2134,POLR2H,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2135,POLR2E,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2136,POLR2F,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2137,POLR2I,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2138,POLR2J,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2139,POLE3,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2140,TYMS,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2141,TXNRD1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2142,NME6,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2143,POLR1D,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2144,PNPT1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2145,POLR2K,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2146,DHODH,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2147,POLD3,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2148,POLR2L,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2149,NME1-NME2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2150,POLA2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2151,UPRT,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2152,CANT1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2153,NME4,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2154,NME1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2155,NME2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2156,NME3,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2157,POLR3C,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2158,POLR3G,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2159,POLR3F,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2160,NUDT2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2161,PRIM1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2162,PRIM2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2163,NME5,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2164,POLD4,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2165,DTYMK,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2166,CTPS1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2167,POLA1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2168,ENTPD8,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2169,POLE2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2170,POLD1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2171,POLD2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2172,POLE,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2173,CAD,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2174,CMPK2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2175,POLR1E,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2176,NT5C1A,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2177,POLR3A,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2178,DCTD,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2179,POLR2B,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2180,POLR2A,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2181,DCK,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2182,POLR2D,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2183,POLR2C,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2184,UCK1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2185,UPB1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2186,TXNRD2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2187,CMPK1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2188,POLR3K,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2189,RRM2B,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2190,PNP,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2191,POLR1B,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2192,UPP2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2193,CTPS2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2194,POLR2J2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2195,CDA,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2196,NT5M,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2197,DUT,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2198,POLR3H,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2199,UCKL1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2200,POLR2J3,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2201,POLR1A,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2202,POLR3B,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2203,ENTPD4,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2204,ITPA,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2205,POLR1C,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2206,POLE4,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2207,RRM1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2208,RRM2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2209,POLR3D,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2210,NT5C3A,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2211,DPYS,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2212,DPYD,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2213,TYMP,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2214,UMPS,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2215,UCK2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2216,POLR3GL,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2217,TK1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2218,NT5E,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2219,TK2,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2220,UPP1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2221,ENTPD6,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2222,ENTPD5,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2223,ENTPD3,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2224,ENTPD1,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2225,NT5C1B,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2226,NT5C,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2227,NME7,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2228,AK3,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2229,POLR1H,Pyrimidine Metabolism,Pyrimidine Metabolism
gene2230,GLUD2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2231,GFPT2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2232,AGXT2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2233,CPS1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2234,GLS2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2235,ABAT,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2236,ADSS2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2237,ADSL,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2238,GLUD1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2239,GLS,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2240,ASL,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2241,IL4I1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2242,GPT,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2243,GFPT1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2244,GPT2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2245,DDO,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2246,ADSS1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2247,ACY3,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2248,GAD1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2249,GAD2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2250,GOT2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2251,AGXT,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2252,GLUL,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2253,NIT2,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2254,GOT1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2255,ALDH4A1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2256,CAD,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2257,ALDH5A1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2258,ASS1,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2259,ASNS,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2260,PPAT,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2261,ASPA,Alanine Aspartate And Glutamate Metabolism,Alanine Aspartate And Glutamate Metabolism
gene2262,ALAS1,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2263,ALAS2,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2264,GLYCTK,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2265,MAOB,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2266,AGXT2,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2267,MAOA,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2268,AOC2,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2269,GATM,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2270,SDS,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2271,AOC3,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2272,GNMT,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2273,SHMT1,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2274,GCAT,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2275,PHGDH,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2276,DMGDH,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2277,SHMT2,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2278,SRR,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2279,PSAT1,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2280,BHMT,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2281,GLDC,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2282,DLD,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2283,GAMT,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2284,PSPH,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2285,AGXT,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2286,SARDH,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2287,AMT,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2288,CHDH,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2289,CBS,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2290,CTH,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2291,PIPOX,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2292,DAO,Glycine Serine And Threonine Metabolism,Glycine Serine And Threonine Metabolism
gene2293,AMD1,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2294,SRM,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2295,ADI1,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2296,AHCY,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2297,DNMT1,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2298,SDS,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2299,TRDMT1,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2300,DNMT3A,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2301,DNMT3B,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2302,LDHC,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2303,IL4I1,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2304,SMS,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2305,LDHB,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
gene2306,ENOPH1,Cysteine And Methionine Metabolism,Cysteine And Methionine Metabolism
